date,Dist_noconnection,EAdistcumsum0,EAdistcumsum1,EAdistcumsum2,EAdistcumsum3,EAdistcumsum5
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
01jan2010,100,13.116,31.677002,50.079002,69.791,73.697998
